img_path,easyocr_ocr,tesseract_ocr,doctr_ocr
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\17\edeka_2441853_17_606.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.8))","(np.float64(0.0), np.float64(0.8))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\20\edeka_2441853_20_634.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.8))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\20\edeka_2441853_20_635.png,"(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.2))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\1\edeka_2636259_1_32617.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\1\edeka_2636259_1_32619.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\1\edeka_2636259_1_32616.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32730.png,"(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.2))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32731.png,"(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.2))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32732.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32733.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32735.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32736.png,"(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.2))","(np.float64(0.0), np.float64(0.2))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\5\edeka_2636259_5_32737.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\8\edeka_2636259_8_32743.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\9\edeka_2636259_9_32751.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\10\edeka_2636259_10_32636.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\11\edeka_2636259_11_32640.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\19\edeka_2636259_19_32681.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\19\edeka_2636259_19_32684.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\21\edeka_2636259_21_32701.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\27\edeka_2636259_27_32714.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\28\edeka_2636259_28_32723.png,"(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))","(np.float64(0.0), np.float64(0.6))"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634519\2\edeka_2634519_2_32413.png,"(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))","(np.float64(0.0), np.float64(0.4))"
